Modified iata,Modified name,Modified city,Modified state,Modified country,Modified latitude,Modified longitude
Modified ONO,Modified Ontario Muni,Modified Ontario,Modified OR,Modified USA,Modified 44.02052417,Modified -117.013635
Modified ONP,Modified Newport Muni,Modified Newport,Modified OR,Modified USA,Modified 44.58036111,Modified -124.0579167
Modified ONT,Modified Ontario International,Modified Ontario,Modified CA,Modified USA,Modified 34.056,Modified -117.6011944
Modified ONY,Modified Olney Municipal,Modified Olney,Modified TX,Modified USA,Modified 33.35088056,Modified -98.81916667
Modified ONZ,Modified Grosse Ile Municipal,Modified Detroit - Grosse Ile,Modified MI,Modified USA,Modified 42.09860472,Modified -83.16105861
Modified OOA,Modified Oskaloosa Municipal,Modified Oskaloosa,Modified IA,Modified USA,Modified 41.22614944,Modified -92.49388278
Modified OOH,Modified Hoonah SPB,Modified Hoonah,Modified AK,Modified USA,Modified 58.11215944,Modified -135.451805
Modified OOK,Modified Toksook Bay,Modified Toksook Bay,Modified AK,Modified USA,Modified 60.53337639,Modified -165.1139636
Modified OPF,Modified Opa-Locka,Modified Miami,Modified FL,Modified USA,Modified 25.907,Modified -80.27838889
Modified OPL,Modified St Landry Parish - Ahart,Modified Opelousas,Modified LA,Modified USA,Modified 30.55840556,Modified -92.099375
Modified OPN,Modified Thomaston-Upton County,Modified Thomaston,Modified GA,Modified USA,Modified 32.95458861,Modified -84.26315222
Modified OQU,Modified Quonset State,Modified North Kingstown,Modified RI,Modified USA,Modified 41.5971525,Modified -71.41215333
Modified OQW,Modified Maquoketa Municipal,Modified Maquoketa,Modified IA,Modified USA,Modified 42.050075,Modified -90.73880472
Modified OR33,Modified Boardman,Modified Boardman,Modified OR,Modified USA,Modified 45.814825,Modified -119.8205006
Modified ORB,Modified Orr Regional,Modified Orr,Modified MN,Modified USA,Modified 48.01592194,Modified -92.85605139
Modified ORC,Modified Orange City Municipal,Modified Orange City,Modified IA,Modified USA,Modified 42.99026444,Modified -96.06279667
Modified ORD,Modified Chicago O'Hare International,Modified Chicago,Modified IL,Modified USA,Modified 41.979595,Modified -87.90446417
Modified ORE,Modified Orange Municipal,Modified Orange,Modified MA,Modified USA,Modified 42.57011889,Modified -72.28860667
Modified ORF,Modified Norfolk International,Modified Norfolk,Modified VA,Modified USA,Modified 36.89461111,Modified -76.20122222
Modified ORG,Modified Orange County,Modified Orange,Modified TX,Modified USA,Modified 30.06916667,Modified -93.80091667
Modified ORH,Modified Worcester Regional,Modified Worcester,Modified MA,Modified USA,Modified 42.26733944,Modified -71.87570944
Modified ORI,Modified Port Lions,Modified Port Lions,Modified AK,Modified USA,Modified 57.8853775,Modified -152.8461011
Modified ORL,Modified Executive,Modified Orlando,Modified FL,Modified USA,Modified 28.54547222,Modified -81.33294444
Modified ORS,Modified Orcas Island,Modified Eastsound,Modified WA,Modified USA,Modified 48.70816,Modified -122.9137961
Modified ORT,Modified Northway,Modified Northway,Modified AK,Modified USA,Modified 62.96133361,Modified -141.9291369
Modified ORV,Modified Robert(Bob) Curtis Memorial,Modified Noorvik,Modified AK,Modified USA,Modified 66.82852667,Modified -161.0277908
Modified OSC,Modified Oscoda - Wurtsmith,Modified Oscoda,Modified MI,Modified USA,Modified 44.45260972,Modified -83.38036389
Modified OSH,Modified Wittman Regional,Modified Oshkosh,Modified WI,Modified USA,Modified 43.98436639,Modified -88.55705944
Modified OSU,Modified Ohio State University,Modified Columbus,Modified OH,Modified USA,Modified 40.07977778,Modified -83.07302778
Modified OSX,Modified Kosciusko-Attala County,Modified Kosciusko,Modified MS,Modified USA,Modified 33.09025889,Modified -89.54201722
Modified OTG,Modified Worthington Municipal,Modified Worthington,Modified MN,Modified USA,Modified 43.65506611,Modified -95.57920917
Modified OTH,Modified North Bend Muni,Modified North Bend,Modified OR,Modified USA,Modified 43.41713889,Modified -124.2460278
Modified OTM,Modified Ottumwa Industrial,Modified Ottumwa,Modified IA,Modified USA,Modified 41.10659611,Modified -92.44793972
Modified OTZ,Modified Ralph Wien Memorial,Modified Kotzebue,Modified AK,Modified USA,Modified 66.88467694,Modified -162.5985497
Modified OUN,Modified University of Oklahoma Westheimer,Modified Norman,Modified OK,Modified USA,Modified 35.24556444,Modified -97.47212861
Modified OVE,Modified Oroville Municipal,Modified Oroville,Modified CA,Modified USA,Modified 39.48775,Modified -121.622
Modified OVO,Modified North Vernon,Modified North Vernon,Modified IN,Modified USA,Modified 39.04563667,Modified -85.60533
Modified OVS,Modified Boscobel,Modified Boscobel,Modified WI,Modified USA,Modified 43.16063056,Modified -90.67421833
Modified OWA,Modified Owatonna Degner Regional,Modified Owatonna,Modified MN,Modified USA,Modified 44.12339722,Modified -93.26061667
Modified OWB,Modified Owensboro-Daviess County,Modified Owensboro,Modified KY,Modified USA,Modified 37.74011111,Modified -87.16683333
Modified OWD,Modified Norwood Memorial,Modified Norwood,Modified MA,Modified USA,Modified 42.19079694,Modified -71.17310389
Modified OWI,Modified Ottawa Municipal,Modified Ottawa,Modified KS,Modified USA,Modified 38.53866667,Modified -95.25297222
Modified OWK,Modified Central Maine,Modified Norridgewock,Modified ME,Modified USA,Modified 44.7155,Modified -69.86647222
Modified OWX,Modified Putnam County,Modified Ottawa,Modified OH,Modified USA,Modified 41.0355825,Modified -83.98202444
Modified OXB,Modified Ocean City,Modified Ocean City,Modified MD,Modified USA,Modified 38.31044444,Modified -75.12397222
Modified OXC,Modified Waterbury-Oxford,Modified Oxford,Modified CT,Modified USA,Modified 41.47855556,Modified -73.13525
Modified OXD,Modified Miami University,Modified Oxford,Modified OH,Modified USA,Modified 39.50203917,Modified -84.7841425
Modified OXI,Modified Starke County,Modified Knox,Modified IN,Modified USA,Modified 41.3301875,Modified -86.66473194
Modified OXR,Modified Oxnard,Modified Oxnard,Modified CA,Modified USA,Modified 34.20080083,Modified -119.2072164
Modified OXV,Modified Knoxville Municipal,Modified Knoxville,Modified IA,Modified USA,Modified 41.29888556,Modified -93.11381556
Modified OYM,Modified St Marys Muni,Modified St Marys,Modified PA,Modified USA,Modified 41.41247778,Modified -78.50263139
Modified OZA,Modified Ozona Municipal,Modified Ozona,Modified TX,Modified USA,Modified 30.73528028,Modified -101.2029719
Modified OZW,Modified Livingston County,Modified Howell,Modified MI,Modified USA,Modified 42.62950694,Modified -83.98417361
Modified P01,Modified Ajo Municipal,Modified Ajo,Modified AZ,Modified USA,Modified 32.45005694,Modified -112.8673778
Modified P04,Modified Bisbee Municipal,Modified Bisbee,Modified AZ,Modified USA,Modified 31.36399028,Modified -109.8831286
Modified P08,Modified Coolidge Municipal,Modified Coolidge,Modified AZ,Modified USA,Modified 32.93594444,Modified -111.4265278
Modified P13,Modified San Carlos Apache,Modified Globe,Modified AZ,Modified USA,Modified 33.35314722,Modified -110.6673611
Modified P14,Modified Holbrook Municipal,Modified Holbrook,Modified AZ,Modified USA,Modified 34.93891389,Modified -110.1395656
Modified P20,Modified Avi Suquilla,Modified Parker,Modified AZ,Modified USA,Modified 34.15063889,Modified -114.2712222
Modified P32,Modified H.A. Clark Memorial,Modified Williams,Modified AZ,Modified USA,Modified 35.30223222,Modified -112.1940575
Modified P33,Modified Cochise County,Modified Willcox,Modified AZ,Modified USA,Modified 32.24540278,Modified -109.8946319
Modified P45,Modified Mount Pleasant-Scottdale,Modified Mount Pleasant,Modified PA,Modified USA,Modified 40.10840556,Modified -79.54142694
Modified P52,Modified Cottonwood,Modified Cottonwood,Modified AZ,Modified USA,Modified 34.73002111,Modified -112.0351569
Modified P53,Modified Rostraver,Modified Monongahela,Modified PA,Modified USA,Modified 40.20972222,Modified -79.83144444
Modified PAE,Modified Snohomish County,Modified Everett,Modified WA,Modified USA,Modified 47.90762861,Modified -122.2815892
Modified PAH,Modified Barkley Regional,Modified Paducah,Modified KY,Modified USA,Modified 37.06083333,Modified -88.77375
Modified PAK,Modified Port Allen,Modified Hanapepe,Modified HI,Modified USA,Modified 21.89686833,Modified -159.6033217
Modified PAN,Modified Payson,Modified Payson,Modified AZ,Modified USA,Modified 34.25683639,Modified -111.3392558
Modified PAO,Modified Palo Alto Arpt of Santa Clara Co,Modified Palo Alto,Modified CA,Modified USA,Modified 37.46111944,Modified -122.1150444
Modified PAQ,Modified Palmer Municipal,Modified Palmer,Modified AK,Modified USA,Modified 61.59474194,Modified -149.0888242
Modified PBF,Modified Grider,Modified Pine Bluff,Modified AR,Modified USA,Modified 34.17498722,Modified -91.93472028
Modified PBH,Modified Price County,Modified Phillips,Modified WI,Modified USA,Modified 45.70895028,Modified -90.40248472
Modified PBI,Modified Palm Beach International,Modified West Palm Beach,Modified FL,Modified USA,Modified 26.68316194,Modified -80.09559417
Modified PBV,Modified St. George,Modified St. George,Modified AK,Modified USA,Modified 56.57735278,Modified -169.6637361
Modified PCK,Modified Porcupine Creek,Modified Porcupine Creek,Modified AK,Modified USA,Modified 67.23789833,Modified -150.2860608
Modified PCM,Modified Plant City Municipal,Modified Plant City,Modified FL,Modified USA,Modified 28.00021667,Modified -82.16424167
Modified PCW,Modified Carl R. Keller,Modified Port Clinton,Modified OH,Modified USA,Modified 41.51627778,Modified -82.86869444
Modified PCZ,Modified Waupaca Municipal,Modified Waupaca,Modified WI,Modified USA,Modified 44.33368778,Modified -89.01549861
Modified PDC,Modified Prairie Du Chien Municipal,Modified Prairie Du Chien,Modified WI,Modified USA,Modified 43.01928889,Modified -91.12374722
Modified PDK,Modified Dekalb-Peachtree,Modified Atlanta,Modified GA,Modified USA,Modified 33.87560444,Modified -84.30196778
Modified PDT,Modified Eastern Oregon Regional At Pendleton,Modified Pendleton,Modified OR,Modified USA,Modified 45.69505556,Modified -118.8414444
Modified PDX,Modified Portland Intl,Modified Portland,Modified OR,Modified USA,Modified 45.58872222,Modified -122.5975
Modified PEA,Modified Pella Municipal,Modified Pella,Modified IA,Modified USA,Modified 41.40006667,Modified -92.94588333
Modified PEC,Modified Pelican SPB,Modified Pelican,Modified AK,Modified USA,Modified 57.95517222,Modified -136.2362733
Modified PEO,Modified Penn Yan,Modified Penn Yan,Modified NY,Modified USA,Modified 42.63813556,Modified -77.05306083
Modified PEQ,Modified Pecos Municipal,Modified Pecos City,Modified TX,Modified USA,Modified 31.3823575,Modified -103.5107017
Modified PEZ,Modified Pleasanton Municipal,Modified Pleasanton,Modified TX,Modified USA,Modified 28.95419444,Modified -98.51998917
Modified PFN,Modified Panama City-Bay County International,Modified Panama City,Modified FL,Modified USA,Modified 30.21208333,Modified -85.68280556
Modified PGA,Modified Page Municipal,Modified Page,Modified AZ,Modified USA,Modified 36.92611111,Modified -111.4483611
Modified PGD,Modified Charlotte County,Modified Punta Gorda,Modified FL,Modified USA,Modified 26.92019444,Modified -81.99052778
Modified PGM,Modified Port Graham,Modified Port Graham,Modified AK,Modified USA,Modified 59.34825944,Modified -151.8315389
Modified PGR,Modified Kirk,Modified Paragould,Modified AR,Modified USA,Modified 36.06352944,Modified -90.50986028
Modified PGV,Modified Pitt-Greenville,Modified Greenville,Modified NC,Modified USA,Modified 35.63523944,Modified -77.38532028
Modified PHD,Modified Harry Clever,Modified New Philadelphia,Modified OH,Modified USA,Modified 40.47091667,Modified -81.41975
Modified PHF,Modified Newport News/Williamsburg International,Modified Newport News,Modified VA,Modified USA,Modified 37.13189556,Modified -76.4929875
Modified PHG,Modified Phillipsburg Municipal,Modified Phillipsburg,Modified KS,Modified USA,Modified 39.73530556,Modified -99.31741667
Modified PHH,Modified Andrews Municipal,Modified Andrews,Modified SC,Modified USA,Modified 33.45169472,Modified -79.52620111
Modified PHK,Modified Palm Beach County Glades,Modified Pahokee,Modified FL,Modified USA,Modified 26.78503861,Modified -80.69335528
Modified PHL,Modified Philadelphia Intl,Modified Philadelphia,Modified PA,Modified USA,Modified 39.87195278,Modified -75.24114083
Modified PHN,Modified St Clair County International,Modified Port Huron,Modified MI,Modified USA,Modified 42.91095778,Modified -82.52886139
Modified PHO,Modified Point Hope,Modified Point Hope,Modified AK,Modified USA,Modified 68.34877417,Modified -166.7993086
Modified PHP,Modified Philip,Modified Philip,Modified SD,Modified USA,Modified 44.04862722,Modified -101.5990603
Modified PHT,Modified Henry County,Modified Paris,Modified TN,Modified USA,Modified 36.33822472,Modified -88.38287861
Modified PHX,Modified Phoenix Sky Harbor International,Modified Phoenix,Modified AZ,Modified USA,Modified 33.43416667,Modified -112.0080556
Modified PIA,Modified Greater Peoria Regional,Modified Peoria,Modified IL,Modified USA,Modified 40.66424333,Modified -89.69330556
Modified PIB,Modified Hattiesburg-Laurel Regional,Modified Hattiesburg-Laurel,Modified MS,Modified USA,Modified 31.46714944,Modified -89.33705778
Modified PIE,Modified St. Petersburg-Clearwater International,Modified St. Petersburg,Modified FL,Modified USA,Modified 27.91076333,Modified -82.68743944
Modified PIH,Modified Pocatello Regional,Modified Pocatello,Modified ID,Modified USA,Modified 42.91130556,Modified -112.5958611
Modified PIL,Modified Port Isabel-Cameron County,Modified Port Isabel,Modified TX,Modified USA,Modified 26.16621,Modified -97.34588611
Modified PIM,Modified Callaway Gardens-Harris County,Modified Pine Mountain,Modified GA,Modified USA,Modified 32.84069444,Modified -84.88244444
Modified PIR,Modified Pierre Regional,Modified Pierre,Modified SD,Modified USA,Modified 44.38267694,Modified -100.285965
Modified PIT,Modified Pittsburgh International,Modified Pittsburgh,Modified PA,Modified USA,Modified 40.49146583,Modified -80.23287083
Modified PIZ,Modified Point Lay Dew Station,Modified Point Lay,Modified AK,Modified USA,Modified 69.732875,Modified -163.0053417
Modified PJY,Modified Pinckneyville-Duquoin,Modified Pinckneyville-Duquoin,Modified IL,Modified USA,Modified 37.97788417,Modified -89.36044889
Modified PKA,Modified Napaskiak,Modified Napaskiak,Modified AK,Modified USA,Modified 60.70369056,Modified -161.7767367
Modified PKB,Modified Wood Cty/Gill Robb Wilson,Modified Parkersburg,Modified WV,Modified USA,Modified 39.34510333,Modified -81.43920194
Modified PKD,Modified Park Rapids Municipal,Modified Park Rapids,Modified MN,Modified USA,Modified 46.90062583,Modified -95.07313278
Modified PKF,Modified Park Falls Municipal,Modified Park Falls,Modified WI,Modified USA,Modified 45.95502361,Modified -90.42441806
Modified PLB,Modified Clinton Cty,Modified Plattsburgh,Modified NY,Modified USA,Modified 44.68751861,Modified -73.52452306
Modified PLD,Modified Portland Municipal,Modified Portland,Modified IN,Modified USA,Modified 40.45076167,Modified -84.99007917
Modified PLN,Modified Pellston Regional  of Emmet County,Modified Pellston,Modified MI,Modified USA,Modified 45.5709275,Modified -84.796715
Modified PLR,Modified St Clair County,Modified Pell City,Modified AL,Modified USA,Modified 33.55883333,Modified -86.24905556
Modified PMB,Modified Pembina Municipal,Modified Pembina,Modified ND,Modified USA,Modified 48.9425,Modified -97.24083333
Modified PMD,Modified Palmdale Production Flight,Modified Palmdale,Modified CA,Modified USA,Modified 34.62938889,Modified -118.0845528
Modified PMH,Modified Greater Portsmouth Regional,Modified Portsmouth,Modified OH,Modified USA,Modified 38.84047,Modified -82.84731361
Modified PMP,Modified Pompano Beach Airpark,Modified Pompano Beach,Modified FL,Modified USA,Modified 26.24713889,Modified -80.11105556
Modified PMV,Modified Plattsmouth Municipal,Modified Plattsmouth,Modified NE,Modified USA,Modified 40.95025,Modified -95.91788889
Modified PMX,Modified Metropolitan,Modified Palmer,Modified MA,Modified USA,Modified 42.22328722,Modified -72.31138694
Modified PMZ,Modified Plymouth Municipal,Modified Plymouth,Modified NC,Modified USA,Modified 35.80843944,Modified -76.75927694
Modified PNA,Modified Ralph Wenz,Modified Pinedale,Modified WY,Modified USA,Modified 42.79549917,Modified -109.8070944
Modified PNC,Modified Ponca City Municipal,Modified Ponca City,Modified OK,Modified USA,Modified 36.73058417,Modified -97.09976833
Modified PNE,Modified Northeast Philadelphia,Modified Philadelphia,Modified PA,Modified USA,Modified 40.08194417,Modified -75.01058667
Modified PNM,Modified Princeton Municipal,Modified Princeton,Modified MN,Modified USA,Modified 45.55986778,Modified -93.60821611
Modified PNN,Modified Princeton Municipal,Modified Princeton,Modified ME,Modified USA,Modified 45.20066667,Modified -67.56438889
Modified PNP,Modified Pilot Point,Modified Pilot Point,Modified AK,Modified USA,Modified 57.58038056,Modified -157.5674444
Modified PNS,Modified Pensacola Regional,Modified Pensacola,Modified FL,Modified USA,Modified 30.47330556,Modified -87.18744444
Modified POC,Modified Brackett,Modified La Verne,Modified CA,Modified USA,Modified 34.09164833,Modified -117.7817803
Modified POF,Modified Poplar Bluff Municipal,Modified Poplar Bluff,Modified MO,Modified USA,Modified 36.77394444,Modified -90.32484722
Modified POH,Modified Pocahontas Municipal,Modified Pocahontas,Modified IA,Modified USA,Modified 42.74280556,Modified -94.64730556
Modified POU,Modified Dutchess Cty,Modified Poughkeepsie,Modified NY,Modified USA,Modified 41.62661111,Modified -73.88411111
Modified POY,Modified Powell Muni,Modified Powell,Modified WY,Modified USA,Modified 44.86797222,Modified -108.793
Modified PPA,Modified Perry Lefors,Modified Pampa,Modified TX,Modified USA,Modified 35.61298806,Modified -100.9962608
Modified PPC,Modified Prospect Creek,Modified Prospect Creek,Modified AK,Modified USA,Modified 66.81288139,Modified -150.6437925
Modified PPF,Modified Tri City,Modified Parsons,Modified KS,Modified USA,Modified 37.33125778,Modified -95.50900667
Modified PPG,Modified Pago Pago International,Modified Pago Pago,Modified AS,Modified USA,Modified 14.33102278,Modified -170.7105258
Modified PPO,Modified La Porte Municipal,Modified La Porte,Modified IN,Modified USA,Modified 41.57276194,Modified -86.73413139
Modified PPQ,Modified Pittsfield Penstone Municipal,Modified Pittsfield,Modified IL,Modified USA,Modified 39.63885556,Modified -90.77843111
Modified PQI,Modified Northern Maine Regional,Modified Presque Isle,Modified ME,Modified USA,Modified 46.68896,Modified -68.04479972
Modified PQL,Modified Trent Lott International,Modified Pascagoula,Modified MS,Modified USA,Modified 30.46278111,Modified -88.52922778
Modified PQN,Modified Pipestone Municipal,Modified Pipestone,Modified MN,Modified USA,Modified 43.98330333,Modified -96.30031083
Modified PR03,Modified Fajardo Harbor Seaplane Base,Modified Fajardo,Modified PR,Modified USA,Modified 18.339675,Modified -65.62460583
Modified PRB,Modified Paso Robles Municipal,Modified Paso Robles,Modified CA,Modified USA,Modified 35.67288611,Modified -120.6270558
Modified PRC,Modified Ernest A. Love,Modified Prescott,Modified AZ,Modified USA,Modified 34.65447222,Modified -112.4195833
Modified PRG,Modified Edgar County,Modified Paris,Modified IL,Modified USA,Modified 39.70015944,Modified -87.66961861
Modified PRN,Modified Greenville Municipal,Modified Greenville,Modified AL,Modified USA,Modified 31.84540222,Modified -86.61044583
Modified PRO,Modified Perry Municipal,Modified Perry,Modified IA,Modified USA,Modified 41.82801306,Modified -94.15990361
Modified PRX,Modified Cox,Modified Paris,Modified TX,Modified USA,Modified 33.63660667,Modified -95.45073194
Modified PSB,Modified Mid-State,Modified Philipsburg,Modified PA,Modified USA,Modified 40.88439139,Modified -78.08734167
Modified PSC,Modified Tri-Cities,Modified Pasco,Modified WA,Modified USA,Modified 46.26468028,Modified -119.1190292
Modified PSE,Modified Mercedita,Modified Ponce,Modified PR,Modified USA,Modified 18.00830278,Modified -66.56301194
Modified PSF,Modified Pittsfield Municipal,Modified Pittsfield,Modified MA,Modified USA,Modified 42.42684667,Modified -73.29292806
Modified PSG,Modified James C. Johnson Petersburg,Modified Petersburg,Modified AK,Modified USA,Modified 56.80165194,Modified -132.9452781
Modified PSK,Modified New River Valley,Modified Dublin,Modified VA,Modified USA,Modified 37.13734528,Modified -80.67848167
Modified PSM,Modified Pease International Tradeport,Modified Portsmouth,Modified NH,Modified USA,Modified 43.07795889,Modified -70.82327333
Modified PSN,Modified Palestine Municipal,Modified Palestine,Modified TX,Modified USA,Modified 31.77969444,Modified -95.70630556
Modified PSP,Modified Palm Springs International,Modified Palm Springs,Modified CA,Modified USA,Modified 33.82921556,Modified -116.5062531
Modified PSX,Modified Palacios Municipal,Modified Palacios,Modified TX,Modified USA,Modified 28.72751778,Modified -96.2509675
Modified PTB,Modified Dinwiddie County,Modified Petersburg,Modified VA,Modified USA,Modified 37.18375833,Modified -77.50738889
Modified PTD,Modified Potsdam Muni-Damon,Modified Potsdam,Modified NY,Modified USA,Modified 44.67666917,Modified -74.94844639
Modified PTH,Modified Port Heiden,Modified Port Heiden,Modified AK,Modified USA,Modified 56.95943333,Modified -158.6318208
Modified PTK,Modified Oakland-Pontiac,Modified Pontiac,Modified MI,Modified USA,Modified 42.66520389,Modified -83.41870917
Modified PTN,Modified Harry P. Williams Memorial,Modified Patterson,Modified LA,Modified USA,Modified 29.71081917,Modified -91.33971778
Modified PTS,Modified Atkinson Municipal,Modified Pittsburg,Modified KS,Modified USA,Modified 37.44855556,Modified -94.73133333
Modified PTT,Modified Pratt Industrial,Modified Pratt,Modified KS,Modified USA,Modified 37.7000175,Modified -98.7462025
Modified PTU,Modified Platinum,Modified Platinum,Modified AK,Modified USA,Modified 59.01135611,Modified -161.8196661
Modified PTV,Modified Porterville Municipal,Modified Porterville,Modified CA,Modified USA,Modified 36.02960778,Modified -119.0627311
Modified PTW,Modified Pottstown Limerick,Modified Pottstown,Modified PA,Modified USA,Modified 40.23957167,Modified -75.55662528
Modified PUB,Modified Pueblo Memorial,Modified Pueblo,Modified CO,Modified USA,Modified 38.28908722,Modified -104.4965722
Modified PUC,Modified Carbon County,Modified Price,Modified UT,Modified USA,Modified 39.61391556,Modified -110.7514183
Modified PUW,Modified Pullman/Moscow Regional,"Modified Pullman/Moscow,ID",Modified WA,Modified USA,Modified 46.74386111,Modified -117.1095833
Modified PVB,Modified Platteville Municipal,Modified Platteville,Modified WI,Modified USA,Modified 42.68935583,Modified -90.44439278
Modified PVC,Modified Provincetown Municipal,Modified Provincetown,Modified MA,Modified USA,Modified 42.07199833,Modified -70.22137667
Modified PVD,Modified Theodore F Green State,Modified Providence,Modified RI,Modified USA,Modified 41.72399917,Modified -71.42822111
Modified PVF,Modified Placerville,Modified Placerville,Modified CA,Modified USA,Modified 38.72421806,Modified -120.753325
Modified PVG,Modified Hampton Roads Executive,Modified Portsmouth,Modified VA,Modified USA,Modified 36.78014889,Modified -76.44883472
Modified PVJ,Modified Pauls Valley Municipal,Modified Pauls Valley,Modified OK,Modified USA,Modified 34.71105361,Modified -97.22321694
Modified PVU,Modified Provo Muni,Modified Provo,Modified UT,Modified USA,Modified 40.21919444,Modified -111.7233611
Modified PVW,Modified Hale County,Modified Plainview,Modified TX,Modified USA,Modified 34.16814722,Modified -101.7173361
Modified PWA,Modified Wiley Post,Modified Oklahoma City,Modified OK,Modified USA,Modified 35.53455,Modified -97.64721556
Modified PWC,Modified Pine River Regional,Modified Pine River,Modified MN,Modified USA,Modified 46.7247875,Modified -94.3817
Modified PWD,Modified Sher-Wood,Modified Plentywood,Modified MT,Modified USA,Modified 48.79030583,Modified -104.533845
Modified PWG,Modified McGregor Exectuive,Modified Waco,Modified TX,Modified USA,Modified 31.48491667,Modified -97.31652778
Modified PWK,Modified Palwaukee,Modified Chicago/Wheeling/Prospect Heights,Modified IL,Modified USA,Modified 42.11418083,Modified -87.90148083
Modified PWM,Modified Portland International Jetport,Modified Portland,Modified ME,Modified USA,Modified 43.64616667,Modified -70.30875
Modified PWT,Modified Bremerton National,Modified Bremerton,Modified WA,Modified USA,Modified 47.49275361,Modified -122.7624286
Modified PXE,Modified Perry-Houston Couty,Modified Perry,Modified GA,Modified USA,Modified 32.51058333,Modified -83.76733333
Modified PYG,Modified Pageland,Modified Pageland,Modified SC,Modified USA,Modified 34.74213889,Modified -80.34519444
Modified PYM,Modified Plymouth Municipal,Modified Plymouth,Modified MA,Modified USA,Modified 41.90902444,Modified -70.72878778
Modified PYX,Modified Perryton Ochiltree County,Modified Perryton,Modified TX,Modified USA,Modified 36.41200333,Modified -100.7517883
Modified PZQ,Modified Presque Isle County,Modified Rogers City,Modified MI,Modified USA,Modified 45.40709667,Modified -83.81288556
Modified Q00,Modified Littlefield Municipal,Modified Littlefield,Modified TX,Modified USA,Modified 33.92395306,Modified -102.3866831
Modified Q06,Modified City of Tulia/Swisher County Municipal,Modified Tulia,Modified TX,Modified USA,Modified 34.56682472,Modified -101.7814611
Modified Q14,Modified San Juan Pueblo,Modified Espanola,Modified NM,Modified USA,Modified 36.02502306,Modified -106.0464114
Modified Q16,Modified Reserve,Modified Reserve,Modified NM,Modified USA,Modified 33.70005472,Modified -108.8506214
Modified Q17,Modified Boonville,Modified Boonville,Modified CA,Modified USA,Modified 39.0126775,Modified -123.3827864
Modified Q21,Modified Brownsville,Modified Brownsville,Modified CA,Modified USA,Modified 39.45544417,Modified -121.2913511
Modified Q24,Modified Levelland Municipal,Modified Levelland,Modified TX,Modified USA,Modified 33.54980833,Modified -102.3727333
Modified Q25,Modified Dinsmore,Modified Dinsmore,Modified CA,Modified USA,Modified 40.49291944,Modified -123.5997589
Modified Q26,Modified Terry County,Modified Brownfield,Modified TX,Modified USA,Modified 33.173675,Modified -102.1926208
Modified Q31,Modified Sequoia,Modified Visalia,Modified CA,Modified USA,Modified 36.44856139,Modified -119.3190056
Modified Q34,Modified Portales Municipal,Modified Portales,Modified NM,Modified USA,Modified 34.14547222,Modified -103.4103333
Modified Q35,Modified Springerville Babbitt,Modified Springerville,Modified AZ,Modified USA,Modified 34.1286575,Modified -109.3114756
Modified Q37,Modified Carrizozo Municipal,Modified Carrizozo,Modified NM,Modified USA,Modified 33.64886139,Modified -105.895685
Modified Q41,Modified Floydada Municipal,Modified Floydada,Modified TX,Modified USA,Modified 34.00230056,Modified -101.330435
Modified Q42,Modified Springer Municipal,Modified Springer,Modified NM,Modified USA,Modified 36.32697806,Modified -104.6197117
Modified Q44,Modified Beaver Municipal,Modified Beaver,Modified OK,Modified USA,Modified 36.79891472,Modified -100.5298708
Modified Q49,Modified Firebaugh,Modified Firebaugh,Modified CA,Modified USA,Modified 36.85998861,Modified -120.4644675
Modified Q53,Modified Franklin,Modified Franklin,Modified CA,Modified USA,Modified 38.30491306,Modified -121.4296736
Modified Q55,Modified Dimmitt Municipal,Modified Dimmitt,Modified TX,Modified USA,Modified 34.56673556,Modified -102.3226947
Modified Q58,Modified Santa Rosa Municipal,Modified Santa Rosa,Modified NM,Modified USA,Modified 34.93442472,Modified -104.643065
Modified Q61,Modified Georgetown,Modified Georgetown,Modified CA,Modified USA,Modified 38.92111389,Modified -120.8647944
Modified Q68,Modified Pine Mountain Lake,Modified Groveland,Modified CA,Modified USA,Modified 37.86166667,Modified -120.1778889
Modified Q72,Modified Hayfork,Modified Hayfork,Modified CA,Modified USA,Modified 40.54708833,Modified -123.1816953
Modified Q84,Modified Mendota,Modified Mendota,Modified CA,Modified USA,Modified 36.75800528,Modified -120.3712794
Modified Q88,Modified Paradise Skypark,Modified Paradise,Modified CA,Modified USA,Modified 39.70960639,Modified -121.6163617
Modified Q94,Modified Rio Linda,Modified Rio Linda,Modified CA,Modified USA,Modified 38.67601389,Modified -121.4455092
Modified Q95,Modified Ruth,Modified Ruth,Modified CA,Modified USA,Modified 40.21125917,Modified -123.2975231
Modified Q99,Modified South County  of Santa Clara Co,Modified San Martin,Modified CA,Modified USA,Modified 37.08158611,Modified -121.5968056
Modified RAC,Modified John H Batten,Modified Racine,Modified WI,Modified USA,Modified 42.76119139,Modified -87.81389806
Modified RAL,Modified Riverside Municipal,Modified Riverside,Modified CA,Modified USA,Modified 33.95187528,Modified -117.4451017
Modified RAP,Modified Rapid City Regional,Modified Rapid City,Modified SD,Modified USA,Modified 44.04532139,Modified -103.0573708
Modified RBD,Modified Redbird,Modified Dallas,Modified TX,Modified USA,Modified 32.68086111,Modified -96.86819444
Modified RBE,Modified Bassett Municipal,Modified Bassett,Modified NE,Modified USA,Modified 42.56966667,Modified -99.56836111
